arquivo,classe,status,refs_externas,refs_no_bloco,loc,quarantine_confidence
app/Services/Ai/AutonomousEvolution/Quaternity/IntentResolver/AtlasAutonomosIntentResolverBindings.php,AtlasAutonomosIntentResolverBindings,VIVO-EXTERNO,1,0,15,
app/Services/Ai/AutonomousEvolution/AtlasAutonomosMasterSwitch.php,AtlasAutonomosMasterSwitch,VIVO-TRANSITIVO,0,1,36,
app/Services/Ai/AutonomousEvolution/AtlasAutonomousEvolutionCertificationService.php,AtlasAutonomousEvolutionCertificationService,VIVO-EXTERNO,1,0,285,
app/Services/Ai/AutonomousEvolution/AtlasAutonomousEvolutionLoopService.php,AtlasAutonomousEvolutionLoopService,VIVO-EXTERNO,1,2,914,
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Active/AtlasCortexCallGraphProjector.php,AtlasCortexCallGraphProjector,ORFAO,0,1,177,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Active/Depth/AtlasCortexCounterfactualHypothesisLedger.php,AtlasCortexCounterfactualHypothesisLedger,ORFAO,0,0,188,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Active/Depth/AtlasCortexCounterfactualImpactAggregator.php,AtlasCortexCounterfactualImpactAggregator,ORFAO,0,0,91,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Active/Depth/AtlasCortexCounterfactualMultiStepWalker.php,AtlasCortexCounterfactualMultiStepWalker,ORFAO,0,1,164,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Active/AtlasCortexCounterfactualProbe.php,AtlasCortexCounterfactualProbe,ORFAO,0,0,93,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Active/AtlasCortexCriticalPathDetector.php,AtlasCortexCriticalPathDetector,ORFAO,0,0,127,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/AtlasCortexDecisionHistoryReader.php,AtlasCortexDecisionHistoryReader,ORFAO,0,0,131,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Hotpath/AtlasCortexHotpathFrequencyReporter.php,AtlasCortexHotpathFrequencyReporter,ORFAO,0,0,61,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Hotpath/AtlasCortexHotpathThresholdEmitter.php,AtlasCortexHotpathThresholdEmitter,ORFAO,0,0,41,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Active/AtlasCortexHypotheticalChangeWalker.php,AtlasCortexHypotheticalChangeWalker,ORFAO,0,1,197,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/AtlasCortexIntentExtractor.php,AtlasCortexIntentExtractor,ORFAO,0,0,244,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/AtlasCortexIntentSnapshot.php,AtlasCortexIntentSnapshot,ORFAO,0,0,106,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/AtlasCortexIntentStaleness.php,AtlasCortexIntentStaleness,ORFAO,0,0,117,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/AtlasCortexIntentTriangulator.php,AtlasCortexIntentTriangulator,ORFAO,0,0,152,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Memory/AtlasCortexMemoryBlindSpotTracker.php,AtlasCortexMemoryBlindSpotTracker,ORFAO,0,0,98,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Memory/AtlasCortexMemoryConvergenceObserver.php,AtlasCortexMemoryConvergenceObserver,ORFAO,0,0,89,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Memory/AtlasCortexMemoryEpisodeRecord.php,AtlasCortexMemoryEpisodeRecord,ORFAO,0,1,60,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Memory/AtlasCortexMemoryEpisodicLedger.php,AtlasCortexMemoryEpisodicLedger,ORFAO,0,3,199,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/MemoryIntegration/AtlasCortexMemoryFactGrounder.php,AtlasCortexMemoryFactGrounder,ORFAO,0,0,85,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/MemoryIntegration/AtlasCortexMemoryReader.php,AtlasCortexMemoryReader,ORFAO,0,0,81,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/MemoryIntegration/AtlasCortexMemoryReceiptLedger.php,AtlasCortexMemoryReceiptLedger,ORFAO,0,0,148,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Memory/AtlasCortexMemoryRetrievalService.php,AtlasCortexMemoryRetrievalService,ORFAO,0,0,165,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/MemoryIntegration/AtlasCortexMemoryWriteProposalGate.php,AtlasCortexMemoryWriteProposalGate,ORFAO,0,0,63,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/QueryLanguage/AtlasCortexQueryLanguageExecutor.php,AtlasCortexQueryLanguageExecutor,ORFAO,0,0,223,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/QueryLanguage/AtlasCortexQueryLanguageGrammar.php,AtlasCortexQueryLanguageGrammar,ORFAO,0,1,96,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/QueryLanguage/AtlasCortexQueryLanguageParser.php,AtlasCortexQueryLanguageParser,ORFAO,0,0,149,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Diff/AtlasCortexSnapshotDiffEngine.php,AtlasCortexSnapshotDiffEngine,ORFAO,0,3,284,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Diff/AtlasCortexSnapshotDiffExporter.php,AtlasCortexSnapshotDiffExporter,ORFAO,0,0,210,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Diff/AtlasCortexSnapshotDiffReceiptLedger.php,AtlasCortexSnapshotDiffReceiptLedger,ORFAO,0,0,143,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Diff/AtlasCortexSnapshotDiffSummary.php,AtlasCortexSnapshotDiffSummary,ORFAO,0,1,133,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Similarity/AtlasCortexSymbolSimilarityClusterFact.php,AtlasCortexSymbolSimilarityClusterFact,ORFAO,0,1,63,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Similarity/AtlasCortexSymbolSimilarityClusterReporter.php,AtlasCortexSymbolSimilarityClusterReporter,ORFAO,0,0,217,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Similarity/AtlasCortexSymbolSimilarityFactExtractor.php,AtlasCortexSymbolSimilarityFactExtractor,ORFAO,0,0,450,high
app/Services/Ai/AutonomousEvolution/Discovery/Cortex/Similarity/AtlasCortexSymbolSimilarityPairFact.php,AtlasCortexSymbolSimilarityPairFact,ORFAO,0,2,67,high
app/Services/Ai/AutonomousEvolution/Cortex/AtlasCortexUniversalConfigLoader.php,AtlasCortexUniversalConfigLoader,ORFAO,0,0,196,high
app/Services/Ai/AutonomousEvolution/Cortex/AtlasCortexUniversalContract.php,AtlasCortexUniversalContract,VIVO-EXTERNO,1,0,34,
app/Services/Ai/AutonomousEvolution/Cortex/AtlasCortexUniversalFactsSchema.php,AtlasCortexUniversalFactsSchema,ORFAO,0,0,253,high
app/Services/Ai/AutonomousEvolution/Verify/AtlasDocClaimAnalyzer.php,AtlasDocClaimAnalyzer,VIVO-TRANSITIVO,0,1,285,
app/Services/Ai/AutonomousEvolution/Verify/AtlasDocStructureAnalyzer.php,AtlasDocStructureAnalyzer,VIVO-TRANSITIVO,0,1,82,
app/Services/Ai/AutonomousEvolution/Verify/AtlasEngineeringHonestyGate.php,AtlasEngineeringHonestyGate,VIVO-EXTERNO,1,6,731,
app/Services/Ai/AutonomousEvolution/AtlasEvolutionFrozenJudge.php,AtlasEvolutionFrozenJudge,VIVO-EXTERNO,2,24,929,
app/Services/Ai/AutonomousEvolution/AtlasEvolutionLoopRunner.php,AtlasEvolutionLoopRunner,VIVO-TRANSITIVO,0,5,718,
app/Services/Ai/AutonomousEvolution/AtlasEvolutionScenarioDiffMetricsCalculator.php,AtlasEvolutionScenarioDiffMetricsCalculator,ORFAO,0,0,91,high
app/Services/Ai/AutonomousEvolution/AtlasEvolutionTaskGenerator.php,AtlasEvolutionTaskGenerator,VIVO-EXTERNO,1,5,396,
app/Services/Ai/AutonomousEvolution/AtlasLoopAbstainAndAsk.php,AtlasLoopAbstainAndAsk,VIVO-TRANSITIVO,0,2,93,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopAcceptanceRedProducer.php,AtlasLoopAcceptanceRedProducer,VIVO-TRANSITIVO,0,2,119,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopAdversarialCritic.php,AtlasLoopAdversarialCritic,VIVO-TRANSITIVO,0,1,72,
app/Services/Ai/AutonomousEvolution/AtlasLoopAdversarialVerifierPool.php,AtlasLoopAdversarialVerifierPool,VIVO-EXTERNO,1,1,260,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopAmbitionDecider.php,AtlasLoopAmbitionDecider,VIVO-TRANSITIVO,0,2,107,
app/Services/Ai/AutonomousEvolution/Quaternity/LoopIntentDrift/AtlasLoopAmbitionFacultyRecalibrator.php,AtlasLoopAmbitionFacultyRecalibrator,ORFAO,0,0,92,high
app/Services/Ai/AutonomousEvolution/Quaternity/LoopIntentDrift/AtlasLoopAmbitionFacultyReversalToken.php,AtlasLoopAmbitionFacultyReversalToken,ORFAO,0,1,55,high
app/Services/Ai/AutonomousEvolution/Quaternity/LoopIntentDrift/AtlasLoopAmbitionFacultyStore.php,AtlasLoopAmbitionFacultyStore,VIVO-EXTERNO,1,1,16,
app/Services/Ai/AutonomousEvolution/Quaternity/LoopIntentDrift/AtlasLoopAmbitionFacultyTarget.php,AtlasLoopAmbitionFacultyTarget,VIVO-TRANSITIVO,0,4,92,
app/Services/Ai/AutonomousEvolution/AtlasLoopAmbitionLeapProposer.php,AtlasLoopAmbitionLeapProposer,VIVO-EXTERNO,1,0,125,
app/Services/Ai/AutonomousEvolution/SymbolicAnchoring/PerPhase/AtlasLoopAnchorGatePerPhaseEnforcer.php,AtlasLoopAnchorGatePerPhaseEnforcer,ORFAO,0,0,74,high
app/Services/Ai/AutonomousEvolution/SymbolicAnchoring/PerPhase/AtlasLoopAnchorGatePerPhaseReceiptLedger.php,AtlasLoopAnchorGatePerPhaseReceiptLedger,ORFAO,0,0,109,high
app/Services/Ai/AutonomousEvolution/SymbolicAnchoring/PerPhase/AtlasLoopAnchorGatePerPhaseRegistry.php,AtlasLoopAnchorGatePerPhaseRegistry,ORFAO,0,1,90,high
app/Services/Ai/AutonomousEvolution/Anomaly/AtlasLoopAnomalyBaselineReporter.php,AtlasLoopAnomalyBaselineReporter,ORFAO,0,0,68,high
app/Services/Ai/AutonomousEvolution/Anomaly/AtlasLoopAnomalyDeviationDetector.php,AtlasLoopAnomalyDeviationDetector,ORFAO,0,0,102,high
app/Services/Ai/AutonomousEvolution/Anomaly/AtlasLoopAnomalyDigestEmitter.php,AtlasLoopAnomalyDigestEmitter,ORFAO,0,0,82,high
app/Services/Ai/AutonomousEvolution/Anomaly/AtlasLoopAnomalyReceiptLedger.php,AtlasLoopAnomalyReceiptLedger,ORFAO,0,1,119,high
app/Services/Ai/AutonomousEvolution/AtlasLoopAntiFarmFloor.php,AtlasLoopAntiFarmFloor,VIVO-TRANSITIVO,0,5,80,
app/Services/Ai/AutonomousEvolution/AtlasLoopAntiGoodhartUnifiedRefusal.php,AtlasLoopAntiGoodhartUnifiedRefusal,VIVO-EXTERNO,1,2,223,
app/Services/Ai/AutonomousEvolution/AtlasLoopArchitectPhaseGate.php,AtlasLoopArchitectPhaseGate,VIVO-TRANSITIVO,0,5,160,
app/Services/Ai/AutonomousEvolution/AtlasLoopArchitectureDraftService.php,AtlasLoopArchitectureDraftService,ORFAO,0,0,100,high
app/Services/Ai/AutonomousEvolution/AtlasLoopArmedCoverageReporter.php,AtlasLoopArmedCoverageReporter,ORFAO,0,0,93,review-aael
app/Services/Ai/AutonomousEvolution/AtlasLoopAtomParaphraseAudit.php,AtlasLoopAtomParaphraseAudit,VIVO-TRANSITIVO,0,2,82,
app/Services/Ai/AutonomousEvolution/AtlasLoopAttemptLedger.php,AtlasLoopAttemptLedger,VIVO-TRANSITIVO,0,8,109,
app/Services/Ai/AutonomousEvolution/AuditTrail/AtlasLoopAuditTrailComposer.php,AtlasLoopAuditTrailComposer,VIVO-EXTERNO,1,1,95,
app/Services/Ai/AutonomousEvolution/AuditTrail/AtlasLoopAuditTrailExporter.php,AtlasLoopAuditTrailExporter,VIVO-EXTERNO,1,0,151,
app/Services/Ai/AutonomousEvolution/AuditTrail/AtlasLoopAuditTrailIntegrityVerifier.php,AtlasLoopAuditTrailIntegrityVerifier,VIVO-EXTERNO,1,0,223,
app/Services/Ai/AutonomousEvolution/AuditTrail/AtlasLoopAuditTrailReplayer.php,AtlasLoopAuditTrailReplayer,VIVO-EXTERNO,1,0,232,
app/Services/Ai/AutonomousEvolution/AtlasLoopAutoArchitectureProposalService.php,AtlasLoopAutoArchitectureProposalService,VIVO-EXTERNO,1,2,697,
app/Services/Ai/AutonomousEvolution/AtlasLoopAutoMergeService.php,AtlasLoopAutoMergeService,VIVO-EXTERNO,4,10,1675,
app/Services/Ai/AutonomousEvolution/AtlasLoopAutonomousConductor.php,AtlasLoopAutonomousConductor,VIVO-TRANSITIVO,0,2,145,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopBackService.php,AtlasLoopBackService,VIVO-EXTERNO,1,3,222,
app/Services/Ai/AutonomousEvolution/AtlasLoopBacklogAutoFeederService.php,AtlasLoopBacklogAutoFeederService,VIVO-TRANSITIVO,0,1,81,
app/Services/Ai/AutonomousEvolution/AtlasLoopBacklogAutoFeederServiceSupport.php,AtlasLoopBacklogAutoFeederServiceSupport,VIVO-TRANSITIVO,0,1,404,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopBacklogIntentSource.php,AtlasLoopBacklogIntentSource,VIVO-EXTERNO,1,2,174,
app/Services/Ai/AutonomousEvolution/AtlasLoopBacklogManifestService.php,AtlasLoopBacklogManifestService,VIVO-EXTERNO,1,2,134,
app/Services/Ai/AutonomousEvolution/Recovery/AtlasLoopBackupComposer.php,AtlasLoopBackupComposer,ORFAO,0,1,170,high
app/Services/Ai/AutonomousEvolution/BehaviorDelta/AtlasLoopBehaviorDeltaSnapshotter.php,AtlasLoopBehaviorDeltaSnapshotter,VIVO-TRANSITIVO,0,1,92,
app/Services/Ai/AutonomousEvolution/AtlasLoopBehavioralEquivalenceGate.php,AtlasLoopBehavioralEquivalenceGate,VIVO-TRANSITIVO,0,2,46,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopBlastRadiusAnalyzer.php,AtlasLoopBlastRadiusAnalyzer,VIVO-TRANSITIVO,0,2,96,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopBlastRadiusReader.php,AtlasLoopBlastRadiusReader,VIVO-TRANSITIVO,0,1,61,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopBlastRadiusReaderSupport.php,AtlasLoopBlastRadiusReaderSupport,VIVO-TRANSITIVO,0,1,151,
app/Services/Ai/AutonomousEvolution/AtlasLoopBroaderRegressionGate.php,AtlasLoopBroaderRegressionGate,VIVO-EXTERNO,2,1,417,
app/Services/Ai/AutonomousEvolution/AtlasLoopBudgetScheduler.php,AtlasLoopBudgetScheduler,ORFAO,0,0,128,high
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopBugReproductionLane.php,AtlasLoopBugReproductionLane,VIVO-EXTERNO,1,1,152,
app/Services/Ai/AutonomousEvolution/AtlasLoopCalibratedConfidenceGate.php,AtlasLoopCalibratedConfidenceGate,VIVO-TRANSITIVO,0,1,178,
app/Services/Ai/AutonomousEvolution/Campaign/AtlasLoopCampaignCostGovernor.php,AtlasLoopCampaignCostGovernor,VIVO-TRANSITIVO,0,2,136,
app/Services/Ai/AutonomousEvolution/Campaign/AtlasLoopCampaignCostMath.php,AtlasLoopCampaignCostMath,VIVO-TRANSITIVO,0,1,53,
app/Services/Ai/AutonomousEvolution/Campaign/AtlasLoopCampaignFileStore.php,AtlasLoopCampaignFileStore,VIVO-TRANSITIVO,0,1,141,
app/Services/Ai/AutonomousEvolution/Campaign/AtlasLoopCampaignProviderHealthRecorder.php,AtlasLoopCampaignProviderHealthRecorder,VIVO-TRANSITIVO,0,1,123,
app/Services/Ai/AutonomousEvolution/Campaign/AtlasLoopCampaignSupervisor.php,AtlasLoopCampaignSupervisor,VIVO-EXTERNO,1,9,1883,
app/Services/Ai/AutonomousEvolution/Attribution/AtlasLoopCapabilityDeltaAttributionService.php,AtlasLoopCapabilityDeltaAttributionService,ORFAO,0,0,147,high
app/Services/Ai/AutonomousEvolution/AtlasLoopCapabilityTrendService.php,AtlasLoopCapabilityTrendService,ORFAO,0,1,151,high
app/Services/Ai/AutonomousEvolution/LiveCycle/AtlasLoopCertifyPhaseRunner.php,AtlasLoopCertifyPhaseRunner,ORFAO,0,0,144,high
app/Services/Ai/AutonomousEvolution/AtlasLoopChangedSymbolCoverageCensus.php,AtlasLoopChangedSymbolCoverageCensus,VIVO-TRANSITIVO,0,3,242,
app/Services/Ai/AutonomousEvolution/AtlasLoopCharacterizationTestVerifier.php,AtlasLoopCharacterizationTestVerifier,VIVO-TRANSITIVO,0,2,123,
app/Services/Ai/AutonomousEvolution/AtlasLoopClarificationRouter.php,AtlasLoopClarificationRouter,VIVO-EXTERNO,1,0,44,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopCloneDetector.php,AtlasLoopCloneDetector,VIVO-EXTERNO,1,2,218,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopCloneOrderedNormalizer.php,AtlasLoopCloneOrderedNormalizer,VIVO-TRANSITIVO,0,1,67,
app/Services/Ai/AutonomousEvolution/LiveCycle/AtlasLoopClosePhaseRunner.php,AtlasLoopClosePhaseRunner,ORFAO,0,1,163,high
app/Services/Ai/AutonomousEvolution/SelfModel/Oracle/AtlasLoopCodeDomainOutcomeOracle.php,AtlasLoopCodeDomainOutcomeOracle,ORFAO,0,0,48,high
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopCompletenessCriteriaResolver.php,AtlasLoopCompletenessCriteriaResolver,VIVO-EXTERNO,1,2,259,
app/Services/Ai/AutonomousEvolution/AtlasLoopCompletenessGate.php,AtlasLoopCompletenessGate,VIVO-TRANSITIVO,0,3,74,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopComplexTargetDecomposer.php,AtlasLoopComplexTargetDecomposer,VIVO-TRANSITIVO,0,2,101,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopComprehensionCadenceService.php,AtlasLoopComprehensionCadenceService,VIVO-EXTERNO,1,0,147,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopComprehensionDeltaTracker.php,AtlasLoopComprehensionDeltaTracker,ORFAO,0,0,152,high
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopComprehensionDocReader.php,AtlasLoopComprehensionDocReader,ORFAO,0,0,63,high
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopComprehensionGraphSerializer.php,AtlasLoopComprehensionGraphSerializer,ORFAO,0,0,71,high
app/Services/Ai/AutonomousEvolution/Verify/AtlasLoopComprehensionGroundingGate.php,AtlasLoopComprehensionGroundingGate,VIVO-EXTERNO,2,4,617,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopComprehensionOriginationCandidates.php,AtlasLoopComprehensionOriginationCandidates,VIVO-TRANSITIVO,0,3,116,
app/Services/Ai/AutonomousEvolution/AtlasLoopComprehensionOriginator.php,AtlasLoopComprehensionOriginator,VIVO-EXTERNO,1,3,247,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopComprehensionStalenessDetector.php,AtlasLoopComprehensionStalenessDetector,ORFAO,0,0,103,high
app/Services/Ai/AutonomousEvolution/AtlasLoopConfidenceCalibrator.php,AtlasLoopConfidenceCalibrator,VIVO-EXTERNO,1,2,123,
app/Services/Ai/AutonomousEvolution/Constitution/AtlasLoopConstitutionGateService.php,AtlasLoopConstitutionGateService,VIVO-EXTERNO,1,0,93,
app/Services/Ai/AutonomousEvolution/Constitution/AtlasLoopConstitutionGateToken.php,AtlasLoopConstitutionGateToken,VIVO-TRANSITIVO,0,2,62,
app/Services/Ai/AutonomousEvolution/Constitution/AtlasLoopConstitutionResolveFlags.php,AtlasLoopConstitutionResolveFlags,VIVO-TRANSITIVO,0,1,92,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopConstraintsBlockAssembler.php,AtlasLoopConstraintsBlockAssembler,VIVO-EXTERNO,1,1,112,
app/Services/Ai/AutonomousEvolution/AtlasLoopContractGapScanner.php,AtlasLoopContractGapScanner,VIVO-EXTERNO,1,1,147,
app/Services/Ai/AutonomousEvolution/SelfModel/Corpus/AtlasLoopCorpusProvenanceLedger.php,AtlasLoopCorpusProvenanceLedger,ORFAO,0,0,60,high
app/Services/Ai/AutonomousEvolution/AtlasLoopCortexRoleTokenSemanticDisambiguator.php,AtlasLoopCortexRoleTokenSemanticDisambiguator,VIVO-EXTERNO,1,0,114,
app/Services/Ai/AutonomousEvolution/Twin/AtlasLoopCounterfactualEditEvaluator.php,AtlasLoopCounterfactualEditEvaluator,ORFAO,0,0,101,high
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopCoverageDeficitSource.php,AtlasLoopCoverageDeficitSource,VIVO-EXTERNO,1,5,141,
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopCoverageGapDetector.php,AtlasLoopCoverageGapDetector,ORFAO,0,0,37,high
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopCoverageGapDetectorSupport.php,AtlasLoopCoverageGapDetectorSupport,ORFAO,0,1,198,high
app/Services/Ai/AutonomousEvolution/Discovery/AtlasLoopCoverageGapFeeder.php,AtlasLoopCoverageGapFeeder,VIVO-TRANSITIVO,0,1,290,
app/Services/Ai/AutonomousEvolution/AtlasLoopCriterionStabilitySelector.php,AtlasLoopCriterionStabilitySelector,ORFAO,0,0,54,high
app/Services/Ai/AutonomousEvolution/SelfModel/Oracle/AtlasLoopCrossDomainOracleRegistry.php,AtlasLoopCrossDomainOracleRegistry,ORFAO,0,0,38,high
app/Services/Ai/AutonomousEvolution/SelfModel/Training/AtlasLoopCrossDomainTrainingSampler.php,AtlasLoopCrossDomainTrainingSampler,ORFAO,0,0,44,high
app/Services/Ai/AutonomousEvolution/AtlasLoopCrossFileConsumerGateService.php,AtlasLoopCrossFileConsumerGateService,VIVO-EXTERNO,2,4,596,
app/Services/Ai/AutonomousEvolution/AtlasLoopCrossLeverageRegistry.php,AtlasLoopCrossLeverageRegistry,ORFAO,0,2,96,high
app/Services/Ai/AutonomousEvolution/AtlasLoopCrossModelTriangulator.php,AtlasLoopCrossModelTriangulator,VIVO-EXTERNO,1,0,262,
app/Services/Ai/AutonomousEvolution/AtlasLoopCrossTypeLeverageSelector.php,AtlasLoopCrossTypeLeverageSelector,VIVO-TRANSITIVO,0,2,49,
app/Services/Ai/AutonomousEvolution/Branching/AtlasLoopCycleBranchManifest.php,AtlasLoopCycleBranchManifest,ORFAO,0,2,30,high
